"","acinar","activated-stellate","alpha","beta","delta","ductal","endothelial","epsilon","gamma","macrophage","mast","quiescent-stellate","schwann","t-cell"
"INSL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSM1",1,2,200,1230,320,16,8,15,80,2,0,1,0,0
"INSM2",0,0,1,7,0,1,0,0,0,0,0,0,0,0
"INSR",84,4,57,79,22,39,335,3,27,2,0,7,0,0
"INSRR",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"INTS1",0,0,2,3,0,0,0,0,0,0,0,1,0,0
"INTS10",28,17,40,174,32,11,10,5,12,1,0,20,0,1
"INTS12",19,11,34,62,20,26,8,1,10,1,0,8,2,0
"INTS2",3,3,21,54,13,9,9,0,6,1,0,4,0,0
"INTS3",4,4,10,28,3,8,4,0,4,1,0,3,1,0
"INTS4",13,6,21,103,17,10,5,0,3,0,1,4,0,0
"INTS4P2",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"INTS5",16,9,34,135,25,17,9,0,9,1,0,10,0,0
"INTS6",17,12,39,116,23,25,17,2,3,4,1,10,0,0
"INTS7",5,0,6,50,12,3,3,0,1,2,0,4,0,0
"INTS8",14,3,21,61,7,16,11,0,3,0,1,6,0,0
"INTS9",17,5,27,57,11,12,7,0,9,4,1,5,0,0
"INTU",2,1,14,67,11,2,1,1,2,0,0,3,0,0
"INVS",0,1,8,31,5,6,4,0,1,1,0,2,0,0
"IP6K1",26,14,45,143,35,17,30,8,19,2,2,7,0,0
"IP6K2",65,31,100,347,92,70,38,5,31,2,1,21,2,0
"IP6K3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IPCEF1",0,0,0,1,2,1,0,0,0,0,0,0,0,2
"IPMK",4,1,17,46,18,4,6,2,6,1,1,8,0,0
"IPO11",8,4,17,74,14,13,33,0,4,2,0,5,0,0
"IPO13",10,8,50,199,20,17,9,0,11,2,0,9,0,0
"IPO4",19,11,30,80,12,16,7,2,1,1,0,6,0,0
"IPO5",111,38,88,412,83,70,38,2,22,4,5,33,1,0
"IPO7",154,80,98,593,82,150,54,1,17,9,2,32,1,0
"IPO8",23,5,26,147,39,13,15,2,10,2,0,2,0,0
"IPO9",16,22,29,132,35,24,16,1,15,5,1,16,2,0
"IPP",1,1,2,11,4,5,0,0,1,0,0,0,0,0
"IPPK",7,10,20,63,15,12,8,1,4,0,0,2,0,0
"IQCA1",1,0,0,1,0,6,26,0,0,0,0,0,0,0
"IQCB1",8,7,30,128,16,13,6,1,3,4,2,5,0,0
"IQCC",1,2,12,35,10,1,1,0,1,0,0,0,0,0
"IQCD",0,0,8,13,2,2,0,0,0,1,0,0,0,0
"IQCE",13,5,40,69,39,30,4,1,10,0,0,3,0,0
"IQCF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCG",5,2,8,42,5,0,1,0,1,1,0,2,0,0
"IQCH",0,1,3,17,2,1,1,0,1,0,0,0,0,0
"IQCJ",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IQCJ.SCHIP1",0,0,2,0,0,0,3,0,0,0,0,2,0,0
"IQCK",18,7,23,57,17,32,20,2,4,0,0,4,0,0
"IQGAP1",95,90,162,781,133,210,152,4,37,31,4,77,2,2
"IQGAP2",25,7,4,0,2,34,16,0,0,9,3,1,0,1
"IQGAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQSEC1",8,14,35,291,23,15,32,2,9,1,9,5,1,0
"IQSEC2",4,3,3,21,8,4,7,0,0,1,0,4,0,0
"IQSEC3",0,0,9,1,1,0,0,0,0,0,0,0,0,0
"IQUB",0,0,1,4,1,0,0,0,2,0,0,1,0,0
"IRAK1",106,36,100,327,108,92,32,7,27,13,1,34,2,0
"IRAK1BP1",2,1,12,48,7,1,3,1,0,0,0,3,0,0
"IRAK2",3,2,8,10,5,17,18,2,2,2,0,0,0,0
"IRAK3",0,0,0,0,1,0,5,0,0,1,0,7,0,0
"IRAK4",11,4,18,42,13,5,6,2,1,0,0,2,0,0
"IREB2",22,16,46,143,37,29,16,1,12,2,1,15,1,0
"IRF1",27,20,23,36,17,31,32,3,9,4,1,15,1,0
"IRF2",27,15,17,70,16,19,17,0,7,5,1,13,0,0
"IRF2BP1",4,4,20,55,8,5,5,1,9,0,0,2,0,0
"IRF2BP2",56,66,207,669,131,153,55,16,59,18,7,32,3,2
"IRF2BPL",39,45,78,529,106,58,50,6,37,3,7,63,1,1
"IRF3",30,31,60,150,28,54,20,3,19,5,2,24,4,0
"IRF4",0,0,0,0,1,0,0,0,0,5,0,0,0,0
"IRF5",4,0,7,10,1,5,0,0,0,8,0,0,0,0
"IRF6",19,1,63,79,61,30,5,5,7,0,1,2,0,2
"IRF7",4,1,6,25,5,10,10,1,3,0,1,1,0,0
"IRF8",0,0,0,0,0,0,0,0,0,13,0,0,0,0
"IRF9",6,3,9,13,1,11,3,0,1,1,1,3,0,0
"IRGC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRGM",0,1,0,0,0,0,0,0,0,0,1,1,0,0
"IRGQ",15,11,45,110,42,31,7,1,10,2,1,3,0,0
"IRS1",7,11,14,7,32,19,2,0,1,0,0,15,1,0
"IRS2",12,28,285,1064,368,77,31,14,55,9,9,22,3,0
"IRS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRX1",0,1,55,3,1,0,0,0,0,0,0,0,0,0
"IRX2",2,6,964,23,9,7,8,0,4,4,2,15,1,0
"IRX3",0,2,0,0,0,2,0,0,0,0,0,5,0,0
"IRX4",0,14,0,0,0,0,0,0,0,0,0,0,0,0
"IRX5",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"IRX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISCA1",33,32,99,342,73,51,28,4,25,4,0,36,2,1
"ISCA2",18,15,79,200,49,29,15,1,10,2,0,9,2,0
"ISCU",96,57,321,1389,210,132,79,10,69,18,1,63,7,2
"ISG15",13,29,35,50,22,21,39,1,3,0,0,21,1,0
"ISG20",12,2,9,33,4,23,38,0,0,0,0,43,0,0
"ISG20L2",12,11,37,121,19,17,12,0,7,2,1,6,0,1
"ISL1",1,5,278,679,365,4,16,12,107,0,0,4,0,0
"ISL2",1,0,0,0,0,0,0,0,0,0,0,2,0,0
"ISLR",1,52,0,2,0,0,1,0,0,0,0,0,0,0
"ISLR2",0,3,0,1,0,0,1,0,0,0,0,0,0,0
"ISM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISOC1",12,7,34,184,25,21,11,0,7,3,3,4,0,0
"ISOC2",36,27,69,251,46,23,10,4,25,1,0,9,0,0
"IST1",51,43,210,619,118,112,60,10,43,10,1,35,3,2
"ISX",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"ISY1",26,18,26,118,29,27,18,0,8,3,1,11,0,0
"ISY1.RAB43",2,0,1,3,1,3,1,0,0,0,0,0,1,0
"ISYNA1",8,11,80,164,92,77,30,6,23,4,0,16,0,0
"ITCH",16,9,11,104,16,11,13,0,2,0,0,13,0,0
"ITFG1",36,25,142,453,98,58,32,7,24,3,0,17,2,0
"ITFG2",0,2,16,56,13,2,9,1,9,0,0,10,1,0
"ITFG3",15,24,169,272,60,46,17,4,26,6,0,22,0,1
"ITGA1",4,141,11,44,3,2,215,0,4,0,0,189,0,1
"ITGA10",0,1,0,17,5,0,0,0,0,0,0,0,0,0
"ITGA11",0,39,0,2,0,0,1,0,0,0,0,1,0,0
"ITGA2",60,49,2,9,1,216,93,1,4,0,0,23,14,0
"ITGA2B",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ITGA3",35,19,39,134,28,213,14,1,9,1,0,41,1,0
"ITGA4",0,0,0,0,0,0,0,0,0,3,0,1,0,0
"ITGA5",3,144,2,12,1,64,383,0,0,3,1,35,4,0
"ITGA6",71,0,4,9,42,94,59,3,0,0,0,0,10,0
"ITGA7",0,0,7,2,4,0,2,5,2,0,0,5,0,0
"ITGA8",0,0,0,0,0,0,27,0,0,0,0,0,0,0
"ITGA9",0,1,0,0,0,1,17,0,0,2,0,0,0,0
"ITGAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGAE",10,15,31,113,27,21,5,1,18,6,0,10,1,0
"ITGAL",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ITGAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGAV",38,78,43,293,65,140,32,4,19,7,0,35,1,0
"ITGAX",0,0,0,0,0,0,0,0,0,6,3,0,0,0
"ITGB1",194,753,1131,1517,450,1196,434,38,139,20,5,445,17,1
"ITGB1BP1",45,78,104,184,53,54,54,4,11,4,1,63,3,1
"ITGB1BP2",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ITGB2",0,0,0,0,0,0,1,0,0,30,0,0,0,0
"ITGB3",0,14,0,1,0,0,3,0,0,0,0,16,1,0
"ITGB3BP",7,5,19,77,12,9,7,0,3,0,0,5,0,0
"ITGB4",22,0,1,2,0,88,3,0,0,0,0,0,0,0
"ITGB5",32,157,57,31,38,166,143,0,10,40,0,72,0,0
"ITGB6",55,0,0,2,0,201,0,0,0,0,0,0,0,0
"ITGB7",1,0,0,0,0,2,0,0,1,16,1,0,0,0
"ITGB8",2,0,17,8,14,58,0,3,3,0,0,0,11,0
"ITGBL1",0,7,3,2,1,1,0,0,0,0,0,0,0,0
"ITIH1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ITIH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITIH3",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ITIH4",12,0,0,13,1,2,0,0,0,0,0,0,0,0
"ITIH5",0,6,1,13,2,27,8,0,2,0,0,1,3,0
"ITIH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITK",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ITLN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITLN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITM2A",0,0,0,3,0,0,43,0,0,0,0,0,0,0
"ITM2B",200,233,1600,3407,429,505,547,40,242,62,10,278,47,2
"ITM2C",20,39,273,455,268,37,8,20,117,4,5,33,0,0
"ITPA",19,25,34,75,12,45,19,0,5,4,1,9,4,0
"ITPK1",25,9,114,140,38,50,31,6,13,11,0,7,2,0
"ITPKA",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITPKB",7,1,0,3,2,9,66,0,0,4,0,5,2,0
"ITPKB.IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITPKC",2,2,14,33,2,22,4,0,0,0,0,0,0,0
"ITPR1",0,10,30,16,28,2,38,3,6,0,3,39,2,0
"ITPR2",12,11,5,39,4,13,9,0,0,3,1,6,2,0
"ITPR3",36,3,35,436,66,76,17,0,9,0,0,2,0,0
"ITPRIP",4,43,0,5,2,13,86,0,0,2,0,39,0,0
"ITPRIPL1",1,0,1,0,0,0,6,0,0,0,0,0,0,2
"ITPRIPL2",22,49,7,66,15,23,62,0,8,0,0,28,1,0
"ITSN1",6,9,5,67,12,32,3,2,4,1,0,11,0,0
"ITSN2",23,3,25,91,19,27,19,2,6,2,1,2,0,0
"IVD",16,5,43,130,33,25,6,4,22,1,4,3,1,0
"IVL",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"IVNS1ABP",39,11,143,218,40,66,178,10,19,5,0,5,0,0
"IWS1",15,12,39,102,31,22,17,2,4,1,0,12,0,0
"IYD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IZUMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IZUMO2",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"IZUMO4",1,0,0,8,0,0,1,0,0,0,0,0,0,0
"JADE1",41,5,119,311,60,49,4,4,25,2,2,5,0,0
"JADE2",18,5,53,177,22,16,14,4,17,2,1,3,1,0
"JADE3",11,11,12,19,8,8,8,0,5,0,0,7,0,0
"JAG1",6,61,6,9,3,150,81,0,1,0,0,40,1,0
"JAG2",6,0,3,50,8,10,59,0,3,0,0,0,0,0
"JAGN1",75,32,71,255,42,59,35,1,15,3,0,31,2,1
"JAK1",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"JAK2",3,5,15,47,4,4,4,0,0,2,0,0,0,0
"JAK3",0,2,0,0,0,0,3,0,0,0,0,1,0,0
"JAKMIP1",0,0,5,36,9,0,1,2,0,0,0,1,0,0
"JAKMIP2",1,0,22,110,18,0,2,0,1,1,1,0,0,0
"JAKMIP3",0,1,1,9,4,0,0,0,0,0,0,0,0,0
"JAM2",0,9,2,5,1,0,28,0,0,0,0,0,0,0
"JAM3",2,24,24,71,31,4,45,4,9,0,0,36,0,0
"JARID2",14,141,29,133,36,21,39,2,16,14,5,36,3,0
"JAZF1",0,6,30,186,45,21,3,1,17,0,1,2,0,0
"JCHAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JDP2",14,34,1,10,15,24,15,0,2,5,1,2,0,0
"JKAMP",26,31,81,428,79,35,31,4,21,5,3,43,1,0
"JMJD1C",26,12,49,259,94,40,45,4,20,3,1,11,0,0
"JMJD4",9,5,18,43,10,8,3,0,2,1,0,5,0,0
"JMJD6",21,14,38,181,24,25,22,0,5,3,0,16,1,0
"JMJD7",4,1,4,29,4,3,1,1,2,0,0,1,0,0
"JMJD7.PLA2G4B",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JMJD8",35,47,108,200,69,52,20,7,31,4,1,27,0,0
"JOSD1",39,23,64,204,50,70,42,5,11,3,3,20,0,0
"JOSD2",38,25,30,94,9,35,20,0,9,9,0,19,1,0
"JPH1",10,0,6,48,2,2,0,0,1,0,0,0,0,0
"JPH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPH3",1,1,27,123,30,0,2,2,18,0,0,2,0,0
"JPH4",0,1,3,4,13,0,1,0,0,0,1,3,0,0
"JPX",5,5,19,52,12,4,4,2,8,2,0,5,0,0
"JRK",3,0,1,5,2,3,0,0,0,0,0,1,0,0
"JRKL",2,1,11,46,12,2,6,0,8,0,0,0,0,0
"JSRP1",0,1,3,2,5,0,0,1,0,0,0,0,0,0
"JTB",158,97,405,1355,398,166,82,16,92,20,3,100,3,1
"JUN",439,18,344,321,388,551,202,30,126,21,4,63,38,3
"JUNB",296,449,402,1001,507,525,476,44,199,35,18,463,1,0
"JUND",431,98,688,2114,541,385,147,19,170,19,8,176,6,1
"JUP",128,36,69,200,101,361,200,5,15,0,0,17,0,0
"KAAG1",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"KALRN",13,8,3,0,1,5,13,1,0,0,1,17,0,0
"KANK1",3,0,16,15,20,7,1,1,17,0,0,0,0,0
"KANK2",3,61,0,5,1,13,33,0,0,0,1,25,1,0
"KANK3",1,1,1,0,0,1,72,0,0,0,0,1,0,0
"KANK4",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"KANSL1",12,5,34,107,28,28,18,0,8,2,0,8,0,0
"KANSL1L",3,0,1,11,4,5,1,0,1,0,0,1,0,0
"KANSL2",8,13,54,165,35,26,9,1,11,1,0,13,0,0
"KANSL3",20,7,35,106,24,16,9,0,6,1,0,12,1,0
"KARS",116,63,140,561,105,105,74,6,24,6,2,39,2,0
"KAT2A",27,9,27,87,30,24,7,0,4,2,0,4,0,0
"KAT2B",3,0,25,144,14,11,6,0,6,0,1,0,6,0
"KAT5",25,9,67,287,64,24,28,2,14,3,0,22,3,0
"KAT6A",38,32,120,361,93,71,65,5,29,6,3,36,0,1
"KAT6B",9,10,17,143,34,18,3,3,15,0,0,4,0,0
"KAT7",11,10,70,180,49,38,16,2,18,3,2,10,0,0
"KAT8",20,9,41,111,31,20,15,1,12,5,2,14,0,0
"KATNA1",1,8,17,47,8,8,9,0,6,1,0,8,0,0
"KATNAL1",3,8,25,195,30,9,10,1,4,1,0,6,0,0
"KATNAL2",0,0,1,6,4,1,0,0,2,0,0,0,0,0
"KATNB1",2,2,2,6,1,1,1,0,3,0,0,0,0,0
"KATNBL1",25,14,71,162,38,58,20,2,13,4,0,7,1,0
"KAZALD1",0,1,1,9,1,0,0,0,0,0,0,1,0,0
"KAZN",3,4,1,1,0,6,1,0,0,0,0,13,0,0
"KBTBD11",2,2,7,45,6,10,14,2,1,0,0,0,0,0
"KBTBD12",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"KBTBD13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KBTBD2",24,17,22,136,24,23,77,1,11,2,1,15,0,0
"KBTBD3",3,3,32,92,23,2,9,0,4,0,0,1,0,0
"KBTBD4",5,3,11,66,9,3,11,2,3,0,0,0,0,0
"KBTBD6",1,0,35,121,21,0,6,0,6,0,0,3,0,0
"KBTBD7",8,7,65,255,49,11,15,0,5,1,1,7,0,0
"KBTBD8",1,0,1,6,7,0,1,0,0,0,0,0,0,0
"KC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCCAT211",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCMF1",154,61,141,590,92,97,78,6,34,6,1,41,7,0
"KCNA1",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"KCNA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNA3",0,0,0,14,0,0,0,0,2,0,0,0,0,0
"KCNA4",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"KCNA5",0,0,74,66,31,2,2,1,24,0,0,1,1,0
"KCNA6",0,0,0,2,0,1,0,0,0,0,0,0,0,0
"KCNA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNAB1",0,0,14,3,0,3,0,0,0,0,0,1,0,0
"KCNAB2",0,2,9,19,18,0,3,0,2,5,0,0,0,0
"KCNAB3",1,2,3,3,2,0,0,0,0,0,0,5,0,0
"KCNB1",1,0,10,18,9,0,1,0,4,0,0,0,0,0
"KCNB2",0,1,20,53,11,0,0,0,3,0,0,0,0,0
"KCNC1",0,0,33,19,1,0,0,0,1,0,0,2,0,0
"KCNC2",0,1,6,0,17,0,0,0,1,0,0,0,0,0
"KCNC3",1,0,2,16,8,0,0,0,2,1,0,1,0,0
"KCNC4",10,3,48,38,34,14,11,0,8,1,0,1,0,0
"KCND1",0,1,3,8,3,3,0,0,0,0,0,0,0,0
"KCND2",0,1,0,3,2,3,0,0,0,0,0,14,0,0
"KCND3",2,0,67,10,12,5,0,2,3,0,0,0,5,0
"KCNE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNE3",6,0,0,0,0,0,25,0,0,0,2,0,0,0
"KCNE4",1,148,2,114,15,3,16,0,3,0,0,330,0,0
"KCNE5",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"KCNF1",1,0,1,55,7,0,0,0,0,0,0,2,0,0
"KCNG1",0,17,0,0,0,7,0,1,38,0,0,0,0,0
"KCNG2",0,2,0,0,2,0,0,0,0,0,0,0,0,0
"KCNG3",0,1,2,31,0,2,0,0,0,0,0,0,0,0
"KCNG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNH1",0,0,4,35,1,1,0,0,0,0,0,1,0,0
"KCNH2",0,1,121,536,127,2,8,13,58,0,3,2,0,0
"KCNH3",0,1,0,2,5,0,0,1,2,0,0,0,0,0
"KCNH4",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"KCNH5",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"KCNH6",1,0,17,13,0,0,1,6,8,0,0,0,0,0
"KCNH7",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"KCNH8",0,0,1,7,1,1,0,0,0,0,0,0,0,0
"KCNIP1",0,1,31,2,48,7,0,0,0,0,0,0,0,0
"KCNIP2",1,1,1,3,1,0,0,0,3,0,0,0,0,0
"KCNIP3",1,1,0,0,0,2,0,0,0,0,0,0,0,0
"KCNIP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ11",5,0,23,225,38,2,3,1,13,0,0,2,0,0
"KCNJ12",0,1,0,0,0,0,3,0,0,0,0,0,0,0
"KCNJ13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ14",0,0,3,11,0,1,0,0,0,0,0,1,0,0
"KCNJ15",0,0,1,0,0,28,3,0,0,0,0,1,0,0
"KCNJ16",0,0,1,61,2,9,0,0,1,0,0,0,0,0
"KCNJ18",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ2",0,0,13,6,27,0,23,0,4,0,0,7,0,0
"KCNJ3",0,0,44,4,32,1,0,0,9,0,0,0,0,0
"KCNJ4",0,0,2,2,0,0,0,0,1,0,0,0,0,0
"KCNJ5",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ6",0,0,211,398,34,4,2,6,15,0,0,1,0,0
"KCNJ8",7,7,55,63,109,0,1,6,41,0,0,34,0,0
"KCNJ9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK1",13,5,90,347,61,36,8,0,10,0,0,0,0,0
"KCNK10",2,0,1,7,13,0,0,0,5,0,0,0,0,0
"KCNK12",0,1,12,79,11,1,2,0,2,1,0,0,0,0
"KCNK13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK15",2,1,4,0,3,8,0,0,0,0,0,0,0,0
"KCNK16",1,0,24,599,82,7,7,4,2,0,0,1,0,0
"KCNK17",0,0,1,7,1,0,0,0,0,0,0,1,0,0
"KCNK18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK3",99,4,97,329,74,7,3,1,11,0,0,1,0,0
"KCNK4",0,0,1,4,0,0,0,0,0,0,0,0,0,0
"KCNK5",1,0,0,0,0,30,5,0,0,0,0,1,0,0
"KCNK6",9,1,1,10,0,6,1,0,0,0,1,0,0,0
"KCNK7",0,0,1,4,1,0,0,0,1,1,0,1,0,0
"KCNK9",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"KCNMA1",13,0,258,801,73,9,14,1,49,0,1,5,5,0
"KCNMB1",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"KCNMB2",0,0,56,161,34,4,1,0,12,1,0,2,0,0
"KCNMB3",1,0,5,13,6,0,0,0,1,0,0,0,0,0
"KCNMB3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNMB4",0,2,4,1,0,0,7,0,3,0,0,0,4,0
"KCNN1",0,2,1,0,0,0,3,0,0,0,0,0,0,0
"KCNN2",1,0,0,2,2,0,14,0,0,0,0,0,0,0
"KCNN3",1,9,21,23,5,2,76,0,2,0,0,0,0,0
"KCNN4",0,0,0,0,0,3,0,0,0,1,0,0,0,0
"KCNQ1",46,0,3,7,4,47,18,0,0,1,2,5,0,0
"KCNQ1DN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNQ2",0,1,0,39,2,0,0,0,0,0,0,0,0,0
"KCNQ3",4,1,0,6,1,1,0,0,0,1,0,0,0,0
"KCNQ4",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"KCNQ5",0,0,0,0,0,1,0,0,0,0,0,2,0,0
"KCNQ5.IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNRG",0,0,1,6,0,1,0,0,0,0,0,0,0,0
"KCNS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNS3",0,10,0,1,0,10,3,0,0,0,0,10,3,0
"KCNT1",0,0,1,1,3,0,0,0,0,0,0,0,0,0
"KCNT2",0,0,0,1,33,0,0,0,7,0,0,0,0,0
"KCNU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNV1",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"KCNV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCP",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"KCTD1",6,4,5,41,14,21,7,0,6,0,0,0,0,0
"KCTD10",14,28,25,115,29,47,33,0,10,3,1,20,0,0
"KCTD11",11,4,12,48,9,11,6,0,2,0,0,6,0,0
"KCTD12",0,13,894,171,116,27,76,22,22,27,0,2,1,0
"KCTD13",8,7,43,188,24,12,1,4,8,2,0,2,2,0
"KCTD14",6,0,3,14,3,0,1,0,0,0,0,1,0,0
"KCTD15",12,11,4,9,4,4,16,0,1,0,1,5,0,0
"KCTD16",3,0,1,16,5,0,1,0,8,0,0,0,0,0
"KCTD17",0,9,1,18,8,1,4,0,6,0,0,9,2,0
"KCTD18",9,4,22,59,10,7,4,3,6,1,0,7,0,0
"KCTD19",0,0,2,1,0,0,0,1,0,0,0,0,0,0
"KCTD2",11,7,61,125,24,14,14,1,7,2,0,10,0,1
"KCTD20",37,41,82,272,57,60,89,0,16,8,0,39,2,1
"KCTD21",2,1,9,16,12,0,3,0,0,0,0,0,0,0
"KCTD3",45,19,97,204,55,73,30,3,21,2,0,20,0,0
"KCTD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCTD5",26,15,40,123,27,40,26,1,8,10,0,11,2,0
"KCTD6",1,2,26,123,13,6,9,4,16,0,0,3,1,0
"KCTD7",3,1,12,65,23,5,3,0,7,2,0,0,0,0
"KCTD8",0,0,1,28,22,0,0,0,0,0,0,0,0,0
"KCTD9",15,6,14,69,14,23,16,0,7,0,0,3,2,0
"KDELC1",0,8,9,5,5,4,5,0,0,0,0,6,0,0
"KDELC2",8,31,13,39,5,5,18,1,5,0,0,33,0,0
"KDELR1",253,233,822,2889,299,256,117,7,112,27,5,114,2,1
"KDELR2",253,364,621,1931,375,210,128,13,85,19,0,153,4,0
"KDELR3",32,69,73,394,41,13,23,0,9,0,0,8,0,0
"KDF1",19,2,45,139,28,26,0,1,16,0,0,2,0,0
"KDM1A",35,17,36,175,46,38,21,3,19,1,1,9,1,1
"KDM1B",8,13,33,165,30,13,13,2,8,2,0,9,0,0
"KDM2A",29,29,65,249,48,59,37,4,9,4,2,14,0,0
"KDM2B",4,5,1,23,7,8,14,0,3,1,0,1,0,1
"KDM3A",12,6,20,117,21,15,33,3,8,0,0,13,1,0
"KDM3B",17,7,33,132,23,40,14,0,5,3,0,6,0,0
"KDM4A",21,20,34,109,22,32,15,0,5,4,0,7,0,0
"KDM4B",27,14,58,77,22,26,17,3,17,3,1,11,0,0
"KDM4C",4,0,11,52,17,1,2,0,2,0,0,5,0,0
"KDM4D",0,0,0,10,0,1,0,0,1,0,0,0,0,0
"KDM4E",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDM5A",24,22,40,188,57,35,47,6,28,3,0,15,1,0
"KDM5B",37,43,37,175,37,73,40,0,4,0,1,13,2,0
"KDM5C",27,13,69,225,42,32,21,3,13,1,0,12,0,0
"KDM5D",12,6,17,139,25,18,5,2,7,0,1,9,0,0
"KDM6A",9,5,11,64,18,19,9,0,2,3,0,7,0,0
"KDM6B",15,16,15,64,18,28,8,2,5,4,1,3,0,0
"KDM7A",13,12,18,96,18,16,16,2,17,1,0,5,0,0
"KDM8",2,0,4,16,1,2,2,0,0,0,0,2,0,0
"KDR",0,0,0,1,0,2,356,0,0,0,0,0,0,0
"KDSR",29,37,20,207,20,57,31,1,10,4,1,16,1,1
